recording,unit_id,unit_index,region_index,window_start_s,window_end_s,window_dur_s,window_source,n_spikes,rate_hz,isi_mean_s,isi_median_s,cv_isi,burst_count,burst_spike_frac,mean_ibi_s,is_active,is_silent,sttc_mean_window,sttc_mean_unit,sttc_degree,n_active_units_window,sttc_dt_s,sttc_degree_thresh,sttc_rate_resid_unit,sttc_rate_resid_window,sttc_degree_delta,sttc_mean_unit_delta,rate_hz_delta,burst_count_delta,tau_rec_burst_s,tau_rec_rate_s,burst_rate_ratio_post0,burst_rate_ratio_post_mid,burst_rate_ratio_post_last,rate_ratio_post0,rate_ratio_post_mid,rate_ratio_post_last,baseline_burst_rate_mean,baseline_rate_mean,injury_label,injury_start_s,injury_end_s,n_baseline_regions,n_post_regions
JMSM_ImpactWithoutBicuculline,s1a,0,0,0.0,419.58000000000004,419.58000000000004,region,255.0,0.6077506077506077,1.6424113188976377,0.8306250000000048,1.28970878578725,15.0,0.20392156862745098,27.013771428571435,1.0,0.0,0.22767954918927652,0.1708023094341943,25.0,40.0,0.05,0.1,0.014674724658452126,0.01998766030757798,5.5,0.07470938963406715,0.5255255255255308,62.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s2a,1,0,0.0,419.58000000000004,419.58000000000004,region,11.0,0.02621669288335955,36.617560000000005,27.427012500000004,1.0905447970040154,0.0,0.0,,1.0,0.0,0.22767954918927652,0.06233079385359703,8.0,40.0,0.05,0.1,-0.07254746121983707,0.01998766030757798,7.5,0.06024728274645372,0.11201677868344602,1.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s2b,2,0,0.0,419.58000000000004,419.58000000000004,region,286.0,0.6816340149673482,1.4637630701754387,0.5352750000000128,1.3112459285149392,30.0,0.36013986013986016,11.791143965517241,1.0,0.0,0.22767954918927652,0.16314748685270516,24.0,40.0,0.05,0.1,0.004320192155768121,0.01998766030757798,8.0,0.07613702938217942,0.6244339577672973,59.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s3a,3,0,0.0,419.58000000000004,419.58000000000004,region,43.0,0.10248343581676914,9.210025595238093,5.679749999999991,1.2946799355640046,1.0,0.06976744186046512,,1.0,0.0,0.22767954918927652,0.1272399602696236,15.0,40.0,0.05,0.1,-0.01042509214181811,0.01998766030757798,2.0,0.012552901845602038,-0.08103341436674621,-1.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s8a,4,0,0.0,419.58000000000004,419.58000000000004,region,850.0,2.0258353591686924,0.49280044169611303,0.20742500000000064,1.2922122382209802,82.0,0.3552941176470588,4.866397839506173,1.0,0.0,0.22767954918927652,0.2060812277845218,34.0,40.0,0.05,0.1,-0.001863369994799552,0.01998766030757798,-9.5,-0.06671353268965174,-1.2607845941179248,-82.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s8b,5,0,0.0,419.58000000000004,419.58000000000004,region,156.0,0.3718003718003718,2.6496167741935484,1.5086000000000013,1.3110905654147742,10.0,0.23717948717948717,44.65743611111112,1.0,0.0,0.22767954918927652,0.2039005527361684,31.0,40.0,0.05,0.1,0.05639462222488728,0.01998766030757798,-13.5,-0.06560485726544772,-0.36703370036703364,-9.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s10a,6,0,0.0,419.58000000000004,419.58000000000004,region,3622.0,8.632441965775298,0.1156023198011599,0.03197499999998854,1.739767493890186,425.0,0.7885146327995582,0.8289798349056614,1.0,0.0,0.22767954918927652,0.40681401320834787,39.0,40.0,0.05,0.1,-0.04253690397588339,0.01998766030757798,-1.0,-0.05150227945119934,-1.724343391010045,-113.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s10b,7,0,0.0,419.58000000000004,419.58000000000004,region,2111.0,5.031221697888364,0.19842520142180095,0.08024999999999238,1.4231094386795877,274.0,0.5821885362387494,1.4010443223443225,1.0,0.0,0.22767954918927652,0.3122935156704389,38.0,40.0,0.05,0.1,-0.005468314709745181,0.01998766030757798,-1.0,-0.028913436317633767,-1.7898851232184394,-112.0,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s10c,8,0,0.0,419.58000000000004,419.58000000000004,region,972.0,2.3166023166023164,0.4309661431513903,0.16022499999999695,1.3938101653486195,96.0,0.4053497942386831,4.120972368421056,1.0,0.0,0.22767954918927652,0.2738333822812227,37.0,40.0,0.05,0.1,0.055264119650747345,0.01998766030757798,-2.0,-0.01960522136371004,-0.5195671862338476,-22.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
JMSM_ImpactWithoutBicuculline,s10d,9,0,0.0,419.58000000000004,419.58000000000004,region,235.0,0.5600838934172266,1.6309653846153847,0.36423750000000155,1.4877392452294675,27.0,0.4340425531914894,13.047528846153849,1.0,0.0,0.22767954918927652,0.06784911875204057,11.0,40.0,0.05,0.1,-0.08653671768744685,0.01998766030757798,14.0,0.11532091478890337,-0.44210877544210847,-17.5,,,0.6078462968437025,0.4835451440060037,0.35685358438296183,0.7346455049558194,0.5193985953385413,0.514709977919209,0.1789562379840158,1.707446533835423,Impact,10260.0,10860.0,24,42
